KPI_ID,NOM_KPI,DOMAINE,DATE_AAAA_MM,VALEUR_TAUX,STATUT,BASELINE_TOP,BASELINE_BOTTOM
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-05,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-05,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-05,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-05,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-05,99.97%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-05,99.83%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-06,99.87%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-06,99.85%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-06,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-06,99.87%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-06,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-06,99.85%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-06,99.38%,ORANGE,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-06,99.46%,ORANGE,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-06,98.18%,ROUGE,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-06,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-06,99.10%,ORANGE,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-06,99.60%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-06,99.60%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-06,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-06,98.81%,ROUGE,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-06,99.30%,ORANGE,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-06,98.60%,ROUGE,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-06,100.00%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-06,100.00%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-06,99.74%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-06,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-06,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-06,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-06,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-06,99.97%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-06,99.83%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-07,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-07,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-07,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-07,100.00%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-07,99.25%,ORANGE,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-07,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-07,98.05%,ROUGE,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-07,99.40%,ORANGE,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-07,99.40%,ORANGE,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-07,99.40%,ORANGE,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-07,99.58%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-07,100.00%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-07,100.00%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-07,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-07,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-07,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-07,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-07,99.88%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-07,99.73%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-08,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-08,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-08,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-08,100.00%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-08,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-08,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-08,100.00%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-08,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-08,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-08,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-08,99.99%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-08,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-09,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-09,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-09,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-09,100.00%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-09,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-09,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-09,100.00%,VERT,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-09,99.97%,VERT,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-09,99.97%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-09,99.90%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-09,99.90%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-09,99.60%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-09,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-09,99.99%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-09,99.99%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-09,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-09,99.92%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-09,99.86%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-10,99.60%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-10,99.60%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-10,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-10,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-10,100.00%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-10,99.90%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-10,99.90%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-10,99.90%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-10,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-10,95.30%,ROUGE,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-10,95.30%,ROUGE,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-10,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-10,99.79%,VERT,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-10,99.79%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-10,100.00%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-10,100.00%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-10,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-10,99.96%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-10,99.96%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-10,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-10,99.96%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-10,99.98%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-11,99.60%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-11,99.60%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-11,99.60%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-11,100.00%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-11,99.60%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-11,100.00%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-11,99.90%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-11,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-11,99.70%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-11,99.70%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-11,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-11,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-11,99.10%,ORANGE,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-11,99.10%,ORANGE,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-11,99.10%,ORANGE,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-11,99.80%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-11,99.80%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-11,99.80%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-11,99.80%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-11,99.50%,VERT,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-11,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-11,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-11,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-11,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-11,99.79%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-11,99.50%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,TECHNIQUE,2022-12,99.30%,ORANGE,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,TECHNIQUE,2022-12,99.45%,ORANGE,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-12,99.13%,ORANGE,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-12,99.45%,ORANGE,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-12,99.30%,ORANGE,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-12,99.45%,ORANGE,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-12,99.13%,ORANGE,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-12,99.45%,ORANGE,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-12,99.50%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-12,99.50%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-12,99.50%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-12,99.96%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-12,98.21%,ROUGE,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-12,98.64%,ROUGE,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-12,98.64%,ROUGE,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-12,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-12,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-12,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-12,84.35%,ROUGE,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-12,84.44%,ROUGE,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-12,82.44%,ROUGE,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-12,99.84%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-12,99.84%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-12,99.84%,VERT,99.50%,99.00%
SNAV017,Taux de disponibilité Y2 Saint Barth,TECHNIQUE,2022-12,99.84%,VERT,99.50%,99.00%
SNAV018,Taux de disponibilité Manhattan,TECHNIQUE,2022-12,98.45%,ROUGE,99.50%,99.00%
RELIC001,Taux de disponibilité Magento,TECHNIQUE,2022-12,99.63%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDF,2022-12,100.00%,VERT,99.00%,99.00%
ADYEN001,Taux de disponibilité Adyen,HDE,2022-12,100.00%,VERT,99.00%,99.00%
SAC001,Taux de disponibilité des services d'impression Hermès Sellier,SERVICE AUX CLIENTS,2022-12,100.00%,VERT,99.50%,99.00%
GRAFA002,Taux de disponibilité Tibco,TECHNIQUE,2022-12,99.92%,VERT,99.50%,99.00%
GRAFA003,Taux de disponibilité DEX,TECHNIQUE,2022-12,99.60%,VERT,99.50%,99.00%
M3MAN001A,Taux de remontées des BP préparés dans M3 sans erreurs - Bobigny,LOGISTIQUE,2023-05,99.61%,VERT,95%,89%
M3MAN001B,Taux de remontées des BP préparés dans M3 sans erreurs - Deret,LOGISTIQUE,2023-05,98.91%,VERT,95%,89%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-07,92.50%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-08,93.40%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-09,92%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-10,93.10%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-11,90.40%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2022-12,90.50%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-01,90.80%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-02,90.80%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-03,93.50%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-04,94.80%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-05,94.80%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-06,91.70%,VERT,85%,79%
GRAFA001,Fiabilité du signal Wifi en magasin,HDF,2023-07,91.50%,VERT,85%,79%
SNAV010,Taux de disponibilité de Plume,HMS,2023-01,100.00%,VERT,99.50%,99.00%
SNAV010,Taux de disponibilité de Plume,HMS,2023-02,99.94%,VERT,99.50%,99.00%
SNAV010,Taux de disponibilité de Plume,HMS,2023-03,100.00%,VERT,99.50%,99.00%
